Spike threshold (mV),Rheobase (pA),Spike threshold (ms),Spike peak volt (mV),Spike time (ms),Hertz,IEI,Num spikes,Spike width (ms),Max AP vel (mV/mS),Peak AHP (mV),Peak AHP (ms),Membrane resistance
-39.94093511809496,187.5,490.075,38.79077817809948,490.775,1.428571428571429,,1.0,1.339689442008944,226.5920930242245,-23.94957859496646,492.775,77.89765703886272
-43.57496106045579,100.0,462.175,26.48278524050479,462.875,2.142857142857143,521.95,1.5,1.078064890008182,208.0109158071286,-41.56062539628852,464.85,118.3532702370261
-41.35508093981244,150.0,415.975,39.5554029547051,416.55,2.142857142857143,423.05,1.5,0.8564339366461468,281.8424240709979,-41.88127474464989,418.55,83.52452266197582
-38.76522087840369,100.0,593.85,34.32635601125956,594.525,2.142857142857143,303.7,1.5,1.427732855312229,218.9869675921409,-17.12550538999989,596.325,186.0351353373121
-44.38069534249099,137.5,478.375,33.08486842714872,479.05,2.142857142857143,354.85,1.5,0.8928960240037668,256.0260669265824,-44.29025578217485,480.95,90.21210546193203
,,,,,,,,,,,,51.61534015272878
-36.36446178243174,218.75,438.75,37.86993973149645,439.425,1.428571428571429,,1.0,1.208691500988459,227.6198276003385,-32.50844818133973,441.8,75.4447537955998
-37.58128487858752,168.75,410.15,40.57490265340087,410.8,2.142857142857143,503.2,1.5,1.027914277496416,242.172351934973,-38.68300310045306,412.975,94.14238019652154
-26.98341409014451,225.0,410.725,35.83916204538708,411.775,1.428571428571429,,1.0,2.217224821936418,140.5512257135374,4.949959671328909,412.825,125.0687491323057
-37.51551066587319,150.0,425.75,34.58123090570527,426.525,2.5,334.4666666666666,1.75,1.060832667286763,209.3263755830554,-33.2401864167217,428.475,138.0538634500556
-40.1875884567506,275.0,381.975,39.54718118392555,382.725,1.428571428571429,,1.0,0.9144274650328384,262.1512772030385,-36.33979645482183,384.675,70.74588179455402
-36.6440022247045,100.0,583.7,43.23875667068489,584.475,3.928571428571429,197.9722222222223,2.75,1.238594670426846,256.6426719703892,-37.03042577225676,587.0,164.0861234274921
-35.14763870856899,106.25,577.625,32.81354994519127,578.5,5.0,145.25,3.5,1.569453481255232,178.7002675363075,-7.563580692864146,580.025,220.6921059568513
-37.5812848759831,93.75,360.6,30.92254233860682,361.375,2.857142857142857,142.075,2.0,1.05321457642666,216.3148903861014,-40.13825781848585,363.525,276.0699184786275
-37.6909086565789,325.0,725.0666666666666,7.934464817728691,725.6333333333333,4.285714285714286,40.18333333333333,3.0,0.3951229031461783,177.0422340625875,-57.62050061669081,726.8666666666667,72.36443812264729
-42.17725875532812,162.5,439.175,43.90472016773244,439.875,3.214285714285714,207.4083333333334,2.25,1.050078705879605,288.7487106256452,-38.5432328807407,442.025,96.92664878260592
-34.8105458364998,93.75,499.65,33.8083843710661,500.525,3.571428571428572,293.6375,2.5,1.739340608043858,195.9248837072875,6.808082037797913,501.55,178.8234464595795
-38.07459154331151,231.25,441.8,40.93666060802624,442.5,2.5,276.725,1.75,0.930642552492327,265.8921723157486,-35.03253382318353,444.475,83.14848631428177
-41.4784076148805,87.5,594.25,37.04776253980597,595.0,3.214285714285714,208.65,2.25,0.9588851956400504,262.3568312846391,-42.71989613140273,597.075,132.0624243789895
-42.81855745707864,181.25,528.65,40.44335430494536,529.3,2.857142857142857,213.4333333333333,2.0,0.8002761480395748,308.4809713243296,-40.84533070629348,531.075,75.83022243875187
-33.37995656815875,168.75,415.675,40.08159634926417,416.375,1.428571428571429,,1.0,1.154156606884999,245.5432906626371,-32.99353303838139,418.8,129.8409573454184
-39.70250356212722,100.0,450.975,35.6582830803714,451.75,2.857142857142857,268.0166666666667,2.0,1.309990752395174,242.7067866879299,-31.42317359937373,454.125,156.3320939139082
-39.0612048823856,137.5,406.4,44.02804672822892,407.125,2.857142857142857,428.65,2.0,0.9931949526722632,282.2123957761615,-35.92048580159454,409.2,120.0758303019625
-40.55756850437947,131.25,410.525,29.04797823973931,411.4,2.857142857142857,242.6333333333333,2.0,1.521956959042689,179.4402295194874,-11.55114207258589,412.9,160.2525556233299
-40.7877782527833,187.5,389.5,39.89249559886212,390.25,1.785714285714286,435.2,1.25,0.9958478896815108,260.0547209527969,-42.11148453479702,392.45,66.82250813621748
,,,,,,,,,,,,58.26771586858234
-36.89887738420935,150.0,433.35,31.01298157483737,434.05,4.285714285714286,214.425,3.0,0.8849772619135138,225.9754730105005,-36.49601028121614,435.8,111.9435691577339
-35.63272358567981,137.5,417.45,36.36535546876799,418.175,4.642857142857142,228.85,3.25,1.252934241602179,237.5270659384504,-25.51993933856947,420.325,147.2283634311826
-32.14668998162372,218.75,399.925,37.31908101372149,400.675,2.857142857142857,217.35,2.0,1.059731737332675,231.9773525704832,-34.08702942099287,402.85,114.3887990121341
-28.26601123831414,118.75,509.375,42.30147470583036,510.1,3.571428571428572,255.6722222222222,2.5,1.581673436757774,201.639006029096,-26.20234531705792,512.925,216.9262659867717
-29.31839868482837,137.5,442.175,35.00054131844172,442.875,2.5,422.4666666666667,1.75,1.481695511943553,188.9363719996676,-10.84406832422255,444.675,157.3515101221021
-24.16334470594922,275.0,409.3,38.35502427214711,410.0,1.428571428571429,,1.0,1.481391517951579,185.9765210292134,13.36083562392389,410.9,78.12903695280329
-40.09714889961189,125.0,384.175,42.0794868726254,384.775,3.571428571428571,259.2333333333333,2.5,0.8559745416009263,295.9838583523758,-42.69523078448322,386.75,97.42837607200306
-36.14247378743251,93.75,498.55,41.14220490114515,499.2,2.142857142857143,285.15,1.5,1.290164499547132,236.3349030206567,-26.8929745696751,501.425,171.3937083965631
-40.29447157190913,87.5,523.275,38.70856045699435,523.85,4.285714285714286,238.4766666666667,3.0,0.7617642432705793,273.8261979332731,-45.27686919681819,525.7,125.3584226374234
-33.47039611972021,262.5,413.45,44.73511909316309,414.0,1.428571428571429,,1.0,0.8827508072379487,275.8405297212877,-33.43750900927195,416.15,61.09481591518315
-38.49390220945811,243.75,384.225,37.36018987457329,384.875,1.785714285714286,292.8,1.25,0.8868131036976934,249.818611343804,-40.0313746830186,386.75,62.21784079184515
-32.33579085935914,131.25,434.775,36.83399646737931,435.375,3.214285714285714,262.2,2.25,1.359792775846813,220.0146765316263,-1.701454936265687,436.65,138.363387222396
-32.23712953313795,168.75,432.5,43.08254300868226,433.175,1.428571428571429,,1.0,1.146249512229599,215.0404987056615,-31.80137535219115,435.525,109.3201987220705
-38.37879732449765,112.5,617.475,35.86382738246903,618.15,2.142857142857143,233.3,1.5,1.325631272319515,225.6877089716565,-30.4612258197915,620.35,126.5712315434729
,,,,,,,,,,,,63.33989713453079
-41.56884717735184,275.0,448.975,34.92654537151582,449.575,1.785714285714286,440.9,1.25,0.8659318225634707,250.2708285221282,-40.42602002006475,451.525,55.13975473901013
-36.25757867425135,293.75,380.325,40.63245505533013,380.975,1.428571428571429,,1.0,1.053451144792609,243.7756028535819,-28.59488231944346,382.875,65.19441643145811
-40.4622744383384,181.25,396.55,39.93571913710905,397.1,1.428571428571429,,1.0,1.017931855276061,291.7920957716142,-38.5304196534789,399.35,92.45320672804343
-35.11062574522813,275.0,386.5,44.1529121186599,387.05,1.428571428571429,,1.0,0.9665876770378873,298.8207273587773,-33.25275704176069,389.4,53.37650285965913
-38.55508160709053,87.5,513.95,39.6973203025898,514.575,2.857142857142857,268.1666666666667,2.0,1.403258666485431,252.0863210844113,-26.17477276504394,517.0,163.5665830723116
-39.69775316558105,143.75,412.1,43.53636344762998,412.725,2.142857142857143,430.55,1.5,1.049026131045184,281.3518504585588,-38.67839148900462,414.975,102.401430950757
-36.53279962071753,212.5,391.075,41.05372743008358,391.625,1.428571428571429,,1.0,1.067707785120103,276.8304925015212,-31.83058330184776,393.925,80.88000555842909
-36.89450859880593,62.5,468.95,33.02215280939915,469.625,2.857142857142857,265.8833333333333,2.0,1.360309180092145,216.737540214437,-35.85870566542912,472.125,250.3648403816715
-37.19867295793763,168.75,575.8,40.59337107620698,576.4,2.5,384.7,1.75,1.048489582355455,270.5417004744927,-34.35432524566508,578.6,90.20816654103236
-36.58212357286394,175.0,410.375,36.04735192439276,411.075,2.5,389.1,1.75,1.149722369893925,226.396794747106,-25.26227821956802,412.975,99.05108175936492
-40.7417768430274,156.25,513.275,43.59390798979794,513.8,2.142857142857143,259.1,1.5,0.920478311733143,317.8104590175892,-36.98493584144833,515.7750000000001,87.4698245383613
-39.50045736298443,162.5,400.2,38.64507718877142,400.85,1.785714285714286,437.4,1.25,1.137756061776213,255.3335080879985,-34.14058811869739,403.05,86.54234338726747
-42.51743920747277,187.5,433.7,40.03436692479053,434.325,1.785714285714286,456.7,1.25,1.144450862955432,275.0219777233683,-39.49223670579936,436.65,80.14629492902606
-38.623587093121,183.3333333333333,401.8,41.08386980824401,402.4,2.380952380952381,408.75,1.666666666666667,1.073642077868969,278.1869044522376,-31.14826866361827,404.4666666666667,79.20069519588088
-41.21035440776187,168.75,639.75,36.27753012943946,640.375,2.142857142857143,339.55,1.5,1.091704111931597,252.8673158395563,-37.85632562763398,642.7,83.46475870385343
-41.56110252215803,166.6666666666667,556.6,39.88913545260073,557.2666666666668,3.333333333333333,227.9666666666666,2.333333333333333,1.210455273818116,242.2900500837665,-38.51397833852209,559.6333333333333,86.91189992731785
-40.59380498406554,100.0,538.075,43.95561654055481,538.7,3.571428571428571,261.1166666666667,2.5,1.038138969631723,263.80077739439,-42.42701195718388,540.95,137.795934689326
-40.39650916739764,162.5,463.375,37.97920457944079,463.975,2.5,491.3333333333333,1.75,0.8787919792612684,270.8294468308566,-39.33604419880491,465.9,79.04498843230277
-36.82874333510407,81.25,451.25,34.65806212251429,451.95,3.928571428571429,214.7055555555555,2.75,1.249630136583846,217.9295325165288,-28.0901856719186,454.0,176.5301810919503
-39.14696903176884,243.75,422.375,42.84582892770823,422.95,2.142857142857143,368.0,1.5,0.9083208834589414,299.6838969580323,-37.63436785448356,425.125,67.42345491891042
-39.9772555641987,150.0,401.25,36.17888230907423,401.85,3.571428571428571,298.925,2.5,0.9070810736410067,264.1296119383883,-36.77119872132982,403.75,90.16445018106339
-41.17089524524842,170.0,434.3,44.73822231694491,434.9,2.0,267.8,1.4,1.007802273159978,292.918326672692,-40.22387533328298,437.28,80.3539081735699
-35.80444929805102,85.0,469.26,39.35205303295591,469.9,3.142857142857143,253.7083333333333,2.2,1.298327908475276,240.7993616133213,-34.73247554121608,472.4,195.4200534982221
-37.54394060827698,212.5,407.925,44.54750326234213,408.475,3.214285714285714,401.1,2.25,0.8224601732941323,295.1214375705709,-36.31084184920023,410.425,66.10935104214391
-42.85448623581306,106.25,462.1,42.56632686711318,462.675,2.5,363.975,1.75,0.7943483182093019,318.5914065542839,-42.90381019153563,464.6,104.6963636153812
-40.23209598931366,131.25,429.05,39.63155511184453,429.65,6.071428571428571,155.0833333333333,4.25,0.8014952240172647,292.7374621206893,-40.36362653385888,431.625,118.3202596571753
-38.55508160847006,87.5,378.35,40.32208965018408,378.95,3.928571428571429,168.9833333333333,2.75,0.8863108723772143,261.7044796281186,-46.89083007457177,381.225,212.7529087993141
-36.45881370024047,81.25,591.625,32.11788130784782,592.3,2.857142857142857,268.2333333333333,2.0,1.431710440288862,192.4455064636244,-24.82658513403718,594.425,198.1217189609603
-39.80462173218622,125.0,440.7,35.85827699425716,441.325,1.785714285714286,345.6,1.25,1.167013494398156,241.2761962784055,-33.69667263606699,443.575,123.1435660160516
-37.05892175860448,137.5,385.8,37.9709839301913,386.375,1.785714285714286,355.8,1.25,0.7803626313004883,268.1988043096584,-40.97195530498149,388.175,92.3023969395248
-33.12122651197301,275.0,597.15,36.3597366213918,597.7,1.428571428571429,,1.0,0.7090694472910627,263.9651793344368,-29.80008083588044,599.25,64.3796313796889
-38.45917392160558,250.0,379.5333333333333,42.82664741995702,380.0,1.904761904761905,542.9,1.333333333333333,0.6074019658065785,338.8005230296235,-37.19867295694643,381.5666666666666,54.23533540509304
-32.66909035270237,106.25,454.925,35.93226283871398,455.525,4.285714285714286,179.0291666666667,3.0,1.190885736619839,231.3291745825119,-28.35324521526447,457.825,198.8504011750211
