Peak (ms),Timestamp (ms),Est Tau (ms),Rise Time (ms),Rise Rate (pA/ms),Amplitude (pA),Fit Amplitude (pA),Fit Tau (ms),Amp Offset (pA),Start (ms),IEI (ms),Acquisition,Holding Current (pA)
298.8,298.8,2.55185893179173,1.5,18.223847499395912,27.335771249093867,-24.91281409612039,2.2077831225077453,0.2708743148581082,2945,61.80000000000001,1,-45.16672668427716
360.6,360.6,2.1273474161027024,1.5,11.38727857623116,17.08091786434674,-16.73966918527186,1.4758708376528897,-0.7476581913021275,3564,71.09999999999997,1,-45.16672668427716
431.7,431.7,5.537629882180409,1.8,6.562819204202603,11.813074567564685,-11.056041710443145,4.22092099985574,-0.16253206860305636,4273,493.7,1,-45.16672668427716
925.4,925.4,0.8905399675206354,1.5,3.9247646543108683,5.887146981466302,-5.42291602573619,1.604134244112539,0.21455846808197973,9209,122.30000000000007,1,-45.16672668427716
1047.7,1047.7,12.166400820591297,2.2,2.4318707786189533,5.350115712961697,-2749.068052166777,69328.40331941063,2747.406042435811,10431,40.09999999999991,1,-45.16672668427716
1087.8,1087.8,1.1912338878481024,1.7,17.91775731179473,30.460187430051043,-29.292395120488713,1.5752306650464423,-0.6320102970141028,10834,79.40000000000009,1,-45.16672668427716
1167.2,1167.2,3.001764689826814,5.6,1.5556320279628295,8.711539356591844,-8.425146341576609,3.7661504715916996,0.001601197963313697,11589,87.29999999999995,1,-45.16672668427716
1254.5,1254.5,2.9503696135681823,2.9,4.547453230640619,13.187614368857794,-14.527780297274672,3.3185276917113753,-0.3561790720906326,12493,154.20000000000005,1,-45.16672668427716
1408.7,1408.7,1.9230643049962963,1.4,16.97203334972646,23.76084668961704,-24.140475719111087,1.5314627790820616,-0.7252222332740699,14044,283.39999999999986,1,-45.16672668427716
1692.1,1692.1,3.7124983373149005,1.6,5.732918219127138,9.172669150603422,-8.792008955285745,1.9904790343724763,-1.2048921529721401,16879,23.40000000000009,1,-45.16672668427716
1715.5,1715.5,3.384467961743212,1.5,5.665918078205248,8.498877117307872,-6.647684102270288,1.2161459486006725,-1.9441034252766995,17112,27.299999999999955,1,-45.16672668427716
