Threshold (ms),Threshold (mV),HW Left (ms),HW Right (ms),HW (mV),FW Left (ms),FW Right (ms),FW (mV),AUC,AUC Left,AUC Right,Min Velocity (ms),Min Velocity,Max Velocity (ms),Max Velocity,AHP (ms),AHP (mV),Spike (ms),Spike (mV),Spike Number,Epoch,Acq Number,Cycle,Pulse Amp (pA),HW (ms),FW (ms)
692.7,-38.71127411846864,693.0477626891864,693.8663983715752,0.9325500184035604,692.7,694.3399999999999,-38.71127411846864,651.3948345096376,203.5657841593653,447.8582280917274,693.7,-10.35802158616727,693.0,26.47050382840012,705.9,-57.19131784418916,693.3,40.60159172657869,1,14,407,1,100,0.8186356823888445,1.639999999999873
827.2,-40.12522742320995,827.5868651465031,828.4280089737671,-0.0117949837437763,827.2,828.9200000000001,-40.12522742320996,677.9693494309685,254.4769822077602,423.5894067149611,828.3,-10.25937446679499,827.6,24.36601190617675,837.5,-56.46789964317146,827.9,40.10835277200432,2,14,407,1,100,0.8411438272639771,1.720000000000027
972.2,-38.48109567684786,972.5635179021314,973.4205459261997,0.294630173690166,972.2,973.9399999999999,-38.48109567684786,670.3418299622688,263.7018260261646,406.6581810850882,973.3,-9.766135455027136,972.5,23.90566144688617,986.0,-56.20483848163374,972.9,39.08899225712424,3,14,407,1,100,0.8570280240683132,1.739999999999895
420.8,-38.94145256102215,421.2276049955584,422.0366788157929,1.31713575944616,420.8,422.5,-38.94145256102215,654.5011521843403,224.4950936691798,430.0620332341567,422.0,-10.42378872660405,421.2,27.555627696927,426.4,-54.72511947243255,421.5,41.62095222399096,1,14,408,1,150,0.8090738202345733,1.699999999999989
474.4,-39.40180944893122,474.7503024855963,475.5817427987955,0.6813151651353877,474.4,476.08,-39.40180944893122,669.87899743802,202.8921651282396,467.0071210620282,475.4,-10.22649100829776,474.7,26.99662596657306,483.7,-54.39629303156514,475.0,40.8317699044379,2,14,408,1,150,0.8314403131992663,1.680000000000064
526.1,-39.92793161112477,526.5045052733543,527.351224395182,0.288766368650073,526.1,527.87,-39.92793161112478,688.1172720560835,242.9238664369965,445.2294358389941,527.2,-10.06207847927337,526.5,25.74708251648598,535.1,-54.33052774363632,526.8,40.53582653279462,3,14,408,1,150,0.8467191218277321,1.769999999999982
576.6,-40.22387532951112,576.9932213787482,577.8411977406888,-0.1363086127316748,576.6,578.37,-40.22387532951112,686.0279266281983,250.1396411229235,435.9259859161364,577.8,-9.996314882190777,577.0,24.82636885565575,586.0,-54.00170130521435,577.3,39.97682238365194,4,14,408,1,150,0.8479763619405958,1.769999999999982
622.8,-40.58558432075839,623.2252267546271,624.0944024528005,-0.5477185000398634,622.8,624.64,-40.58558432075839,703.7959922908849,225.6549293048542,478.2260150525144,624.0,-9.601722848321476,623.2,25.94438034796113,631.3,-53.57422693830735,623.5,39.54934862014857,5,14,408,1,150,0.8691756981734216,1.840000000000032
669.7,-39.86216634058285,670.0834261767025,670.9569913835678,-0.3308760532693924,669.7,671.5,-39.86216634058286,695.8886017529408,253.540349017608,442.4065550532642,670.9,-9.503075471681601,670.1,23.37953368770989,679.5,-53.60710958179363,670.4,39.22052264680659,6,14,408,1,150,0.8735652068653508,1.799999999999955
717.1,-39.43469208392499,717.4985779128989,718.3678392380227,-0.2559207750107575,717.1,718.9399999999999,-39.43469208392499,691.0871776467138,241.2455126563378,449.855747605147,718.2,-9.240013224798037,717.5,24.07006944552693,726.6,-53.04810464528714,717.8,38.95746186724416,7,14,408,1,150,0.8692613251238299,1.839999999999918
