Threshold (ms),Threshold (mV),HW Left (ms),HW Right (ms),HW (mV),FW Left (ms),FW Right (ms),FW (mV),AUC,AUC Left,AUC Right,Min Velocity (ms),Min Velocity,Max Velocity (ms),Max Velocity,AHP (ms),AHP (mV),Spike (ms),Spike (mV),Spike Number,Epoch,Acq Number,Cycle,Pulse Amp (pA),FW (ms),HW (ms)
907.3,-34.27211862195093,907.6100214237997,908.211511151093,-2.0479495617755745,907.3,908.5200000000001,-34.27211862195093,388.07021013528725,125.54325574028277,262.6183293150718,908.1,-11.377383711856504,907.6,25.023666536814076,912.1,-65.67504113626137,907.8,30.243573088059385,1,7,470,0,100.0,1.220000000000141,0.6014897272932558
971.9,-38.34956513919726,972.2189114182947,972.8165218762742,-2.758581652783974,971.9,973.1600000000001,-38.34956513919727,428.55173084706144,139.7200236918155,288.8917656518451,972.7,-12.166566375181507,972.2,29.660115169401916,975.6,-64.62279631064362,972.4,33.005711515287224,2,7,470,0,100.0,1.2600000000001046,0.5976104579794992
326.5,-39.04010046525941,326.86616382904174,327.42427695152844,-2.756827401684724,326.5,327.75,-39.04010046525941,406.8443371984851,170.93937170373079,236.0428047502148,327.3,-13.218809575826437,326.8,32.38937885338875,329.3,-65.0173881176942,327.1,33.53183311011809,1,7,471,0,125.0,1.25,0.5581131224867022
577.0,-33.48293545836181,577.3182756034779,577.932362456934,-2.291706347863933,577.0,578.24,-33.48293545836181,383.15178610230436,123.35887899225641,259.854036905463,577.9,-11.081441693939846,577.3,24.760606460722776,581.0,-64.12955655613482,577.5,28.961151644057516,2,7,471,0,125.0,1.240000000000009,0.614086853456115
619.7,-39.07298310004329,620.0158850524215,620.6101121072029,-2.6669380067978636,619.7,620.96,-39.07298310004329,435.51141609014337,137.52212814522517,298.03501139790257,620.5,-12.29809690277552,620.0,29.890293043459774,622.9,-63.83361270572156,620.2,33.86065910521808,3,7,471,0,125.0,1.259999999999991,0.5942270547814132
661.1,-39.007217830494604,661.4680276135159,662.0688585674745,-2.8439671705909717,661.1,662.42,-39.0072178304946,436.27925314433287,169.28052472969424,267.14553565461387,662.0,-12.067919534599657,661.4,30.44930444006642,664.3,-63.471903557547336,661.7,33.367420112086954,4,7,471,0,125.0,1.3199999999999363,0.6008309539586207
703.9,-38.08650406480808,704.2885967916143,704.8851250649166,-2.4839097183198433,703.9,705.23,-38.08650406480809,426.10043879390406,152.46420738937587,273.6938812425092,704.8,-12.002153904737435,704.2,27.555636057103783,707.5,-63.93226065566849,704.5,33.203007113734586,5,7,471,0,125.0,1.330000000000041,0.5965282733022832
747.5,-37.62614718754932,747.8101832692614,748.4008792755834,-2.2607948290804103,747.5,748.74,-37.62614718754932,420.3960926559405,137.2014664842373,283.283792500339,748.3,-12.067918756424687,747.8,28.377692365214763,750.6,-63.899378005664985,748.0,33.203007113734586,6,7,471,0,125.0,1.240000000000009,0.5906960063219913
792.3,-37.29732084892373,792.6112419709505,793.2068616042013,-2.329847865002236,792.3,793.55,-37.29732084892373,417.7807310357614,135.08057468667457,282.7291106170986,793.1,-11.837740383497412,792.6,28.081749059372182,795.4,-63.76784740586292,792.8,32.74265071663601,7,7,471,0,125.0,1.25,0.5956196332508625
835.0,-38.6783914838943,835.3761679056066,835.9808844421507,-2.884826111717615,835.0,836.3299999999999,-38.6783914838943,433.2174494668614,161.59397007700238,271.6650678887901,835.9,-11.870623614454475,835.3,29.166883296810905,838.5,-63.734964755965365,835.6,32.972828915500926,8,7,471,0,125.0,1.3299999999999272,0.6047165365440605
877.4,-38.579743580285474,877.7692835026985,878.3727316060042,-2.6971880251053335,877.4,878.72,-38.57974358028548,434.65585896305174,166.782948909144,267.9646953504243,878.3,-11.969271584792818,877.7,29.988947857557875,880.7,-63.93226065566849,878.0,33.23588971343078,9,7,471,0,125.0,1.32000000000005,0.6034481033057091
923.1,-38.4482130424067,923.4790974707767,924.0880902342676,-2.936933915457118,923.1,924.4399999999999,-38.44821304240669,433.53474350804765,158.53616017976887,275.0547417901371,924.0,-11.771975641163653,923.4,28.213287610855772,926.1,-63.60343415658699,923.7,32.64400291692898,10,7,471,0,125.0,1.3399999999999181,0.60899276349096
966.7,-37.92209089393182,967.0095347596928,967.6098444694546,-2.589962094230728,966.7,967.95,-37.92209089393182,425.72355364814854,137.414624370681,288.39482909713263,967.5,-12.100801252919736,967.0,28.147514164818787,970.0,-63.899378005664985,967.2,32.87418111606475,11,7,471,0,125.0,1.25,0.6003097097618593
316.9,-39.171631004509344,317.224803114305,317.768944161319,-2.161838745650712,316.9,318.09000000000003,-39.17163100450934,406.92766017964,133.74665364573687,273.30191498269556,317.7,-13.350341346282892,317.2,32.882611210775586,319.7,-64.45838305860968,317.4,35.04443267699421,1,7,472,0,150.0,1.1900000000000546,0.5441410470139658
