Threshold (mV),Threshold (ms),HW (ms),HW Left (ms),HW Right (ms),HW (mV),Spike (mV),Spike (ms),AHP (mV),AHP (ms),FW (ms),FW Left (ms),FW Right (ms),Depol time (ms),Repol time (ms),AUC,AUC Left,AUC Right,Min Velocity,Max Velocity,Min Velocity (ms),Max Velocity (ms),Spike Number,pulse_amp,Acq Number
-40.48693641382438,414.7,1.1699978117769205,415.0111988927127,416.1811967044896,0.35213649028657557,41.19347846843695,415.3,-55.514302938846896,469.4,3.4399999999999635,414.7,418.14,0.6,2.8399999999999634,1068.8698887459127,237.3822999378372,831.4882198527239,-28.953142670303322,5.277657897268865,4150.0,4157.0,1,100.0,9
-39.10586573484625,657.3,1.3632046128789626,657.682016936334,659.045221549213,0.3195602281426133,39.74664420356228,658.0,-54.98818062659584,720.3,4.089999999999963,657.3,661.39,0.7,3.3899999999999637,1218.0516148641186,250.73522986765656,967.3200968430689,-26.306090129622838,4.422710350684477,6577.0,6585.0,2,100.0,9
-38.481095676847865,907.2,1.415750070134709,907.5894710533734,909.0052211235081,0.10458099777106611,38.69440108689008,907.9,-55.514302938846896,959.8,4.2,907.2,911.4,0.7,3.5,1244.9774411292426,239.68904148560586,1005.287112470734,-25.25384707621933,4.274738562927366,9076.0,9084.0,3,100.0,9
-40.12522742320995,372.8,1.1023428508420694,373.1250228250309,374.22736567587293,0.5296636163006667,41.19347846843695,373.4,-51.79856422013567,399.0,3.2,372.8,376.0,0.6,2.6,990.2391936366544,225.67861102732732,764.5652990150288,-28.476345768310615,5.705131841568457,3731.0,3738.0,1,125.0,10
-38.9085699263145,472.3,1.3744973634430608,472.69608110128894,474.07057846473197,0.30115236184887095,39.51646602286985,473.0,-53.57422693830735,507.6,3.969999999999982,472.3,476.27,0.7,3.269999999999982,1204.536904559075,239.24397617543627,965.2931161641947,-26.371856275835732,4.258297276001715,4727.0,4735.0,2,125.0,10
-38.6783914838943,613.1,1.4075171407687777,613.452076546922,614.8595936876907,-0.41250995353400555,37.8723361431653,613.7,-53.2125178612981,638.9,4.080000000000018,613.1,617.1800000000001,0.6,3.480000000000018,1217.6065434659763,197.96019161270192,1019.6522466443006,-23.511066392657213,4.192531951195065,6135.0,6142.0,3,125.0,10
-38.02073879640064,754.7,1.4665158914496714,755.0731538231526,756.5396697146023,-0.5038188262106829,37.0173885934282,755.4,-52.127390644978576,778.5,4.3800000000000185,754.7,759.08,0.7,3.6800000000000184,1265.6082019326118,244.8135011040535,1020.7936552146916,-23.56039171500001,4.159649524212917,7551.0,7559.0,4,125.0,10
-37.62614718754932,890.0,1.5765580189694446,890.3341410410861,891.9106990600555,-0.9847320818676053,35.66920205545141,890.6,-52.58774764315067,915.8,4.489999999999964,890.0,894.49,0.6,3.8899999999999637,1302.2149066612426,195.85960004885268,1106.348415547517,-22.06423638360599,3.551321203406518,8903.0,8911.0,5,125.0,10
-40.68423222786514,351.1,1.0763967482248973,351.47697647516077,352.5533732233856,0.023804837403623935,40.79888730763752,351.7,-51.46973779730859,367.4,3.1800000000000184,351.1,354.28000000000003,0.6,2.5800000000000183,966.738721542793,181.64728176173702,785.101806447102,-28.722961828640084,5.968192566076903,3515.0,3521.0,1,150.0,11
-39.30316154406448,410.7,1.3490025605267875,411.1097464185324,412.4587489790591,-0.014589686382841194,39.28628784157367,411.4,-52.193155930189306,428.3,3.989999999999964,410.7,414.68999999999994,0.7,3.2899999999999636,1189.453999588373,230.2786941293743,959.1827772998948,-26.42118120118007,4.439151607110455,4111.0,4119.0,2,150.0,11
-38.3824477735814,503.3,1.453635786705945,503.6670770726957,505.12071285940164,-0.5524425915029738,37.280449378862976,504.0,-52.127390644978576,521.5,4.260000000000036,503.3,507.56000000000006,0.7,3.5600000000000365,1238.5955267913089,251.9894090467227,986.6100972165291,-23.905658743756064,3.9952363066451095,5037.0,5044.0,3,150.0,11
-37.461734017999916,596.6,1.4813636993154433,596.9527597782305,598.434123477546,-0.6990762020908932,36.06379323949099,597.3,-51.50262043950067,613.1,4.180000000000018,596.6,600.78,0.7,3.480000000000018,1219.0199000504686,255.93616045056916,963.0838867302311,-22.047790439452832,3.962353924861868,5970.0,5978.0,4,150.0,11
-37.165790314003246,694.5,1.5775456992206274,694.855488967,696.4330346662207,-1.3090123285855455,34.5511936907628,695.2,-51.00938080873198,710.8,4.469999999999982,694.5,698.97,0.7,3.769999999999982,1274.2930375047304,247.32565401701962,1026.9704983086879,-21.011988591902394,3.5019974506123397,6949.0,6957.0,5,150.0,11
-36.24507657801814,791.2,1.5906753270822265,791.5433784258238,793.1340537529061,-1.324749771414588,33.59759830924068,791.9,-51.04226345064249,812.3,4.669999999999982,791.2,795.87,0.7,3.969999999999982,1260.6812769359058,249.4883067501755,1011.1891220610389,-20.107721131775197,3.551321243520597,7915.0,7923.0,6,150.0,11
-36.5410202772581,893.7,1.7001885032846986,894.1318427308382,895.832031234123,-1.833872309765674,32.87418111606475,894.5,-50.910732883121,912.9,4.889999999999963,893.7,898.5899999999999,0.8,4.089999999999963,1329.1428379048366,258.1799316016906,1070.9598310427925,-19.8446596492421,3.123847506377242,8941.0,8950.0,7,150.0,11
-36.31084184438408,998.3,1.6231277545339253,998.6848525815428,1000.3079803360768,-1.968523558913347,32.38094211714194,999.0,8.771231791164912,999.9,4.45,998.3,1002.75,0.7,3.75,1254.1967596053703,217.22618607392147,1036.9685355283007,-19.811774877752995,3.2224952525676027,9987.0,9995.0,8,150.0,11
-39.89504897584424,338.1,1.0209098168753372,338.4233548226744,339.4442646395497,0.1324729395416142,40.174117966106884,338.7,-49.69407514875622,351.9,2.8,338.1,340.9,0.6,2.2,891.4897924678967,223.90283663322404,667.5987964363757,-28.492787014298585,6.083281589368026,3384.0,3390.0,1,175.0,12
-39.007217830494604,379.6,1.3960849420650447,379.9689622797291,381.36504722179416,-0.21025493144728102,38.59575329405291,380.2,-51.30532458665012,393.7,4.090000000000009,379.6,383.69,0.6,3.490000000000009,1215.017385444213,187.38272782854276,1027.6419237375208,-25.484024063338037,4.22541453543808,3800.0,3807.0,2,175.0,12
-38.15226933329142,445.7,1.4554638755684208,446.1118387572722,447.5673026328406,-0.39783012970897147,37.379097173194474,446.4,-51.46973779730859,461.9,4.210000000000036,445.7,449.91,0.7,3.510000000000036,1234.3466058511067,219.7265367767716,1014.6193937166936,-24.316694037425513,3.9623540011936216,4461.0,4470.0,3,175.0,12
-37.92209089393182,514.8,1.5131809098408666,515.2041549335843,516.7173358434252,-1.1033759717030094,35.73496725291773,515.5,-50.81208495769077,531.5,4.4,514.8,519.2,0.7,3.7,1250.3953657316629,219.66106116634094,1030.7436254224694,-23.050713089985457,3.666410386442987,5152.0,5160.0,4,175.0,12
-36.47525501062846,590.8,1.5906640793768019,591.2142883306699,592.8049524100468,-1.0093214090066098,34.485428492382106,591.5,-50.25308005032974,606.2,4.5,590.8,595.3,0.7,3.8,1264.4186559216514,204.98114562719,1059.4392365297522,-21.455906726087267,3.699292989259945,5912.0,5920.0,5,175.0,12
-36.17931131172752,662.7,1.6364560882535444,663.1094495260184,664.7459056142719,-1.4369189169879277,33.33453751244219,663.4,-50.28596269177888,680.1,4.769999999999982,662.7,667.47,0.7,4.069999999999982,1293.9601902567715,203.8091683570011,1090.151289793363,-20.56807597317693,3.386908255692518,6631.0,6639.0,6,175.0,12
-36.21219394486342,734.7,1.6688555962848113,735.05848044889,736.7273360451748,-1.7885373259773019,32.64400291692898,735.4,-49.92425363693942,751.2,4.769999999999982,734.7,739.47,0.7,4.069999999999982,1289.070691038774,235.19861684105564,1053.8650691825205,-19.532271440351398,3.3869081945773,7351.0,7358.0,7,175.0,12
-36.17931131172752,807.0,1.7191731706531754,807.4334345626174,809.1526077332707,-2.1316542685071695,31.92058571552193,807.8,-50.220197408900646,826.1,4.960000000000036,807.0,811.96,0.8,4.160000000000037,1322.599408584385,251.9132132966064,1070.6843162801388,-18.874622531731905,3.1402889233322915,8074.0,8084.0,8,175.0,12
-35.88336761435084,884.5,1.7998696178226965,884.8936926184518,886.6935622362746,-2.3553927086293243,31.19716850783576,885.2,-49.20083553451593,901.1,5.0,884.5,889.5,0.7,4.3,1344.3861252170402,206.82170985059093,1137.5670362424926,-18.858179524911122,2.94299312756951,8849.0,8857.0,9,175.0,12
-35.19283232638806,959.5,1.797248748587299,959.9296593456663,961.7269080942536,-2.343927898862887,30.506633894613866,960.3,-49.7269577898653,977.3,4.979999999999928,959.5,964.4799999999999,0.8,4.179999999999927,1314.0138105372896,245.6343594324818,1068.376739549509,-17.986791687062627,2.8114628738833396,9599.0,9609.0,10,175.0,12
-40.25675796498317,332.9,1.0056711126469053,333.2490402794018,334.25471139204876,0.09376361700403635,40.502943935884225,333.5,-48.28012159992794,343.2,2.8099999999999907,332.9,335.71,0.6,2.209999999999991,883.1319867336834,203.4118209872565,679.7337340211461,-26.56915615288277,6.231253700515955,3332.0,3339.0,1,200.0,13
-38.34956513919726,365.3,1.4357072273238827,365.6401850998511,367.075892327175,0.21658313045874422,38.82593147716617,365.9,-50.48325854089435,379.3,4.05,365.3,369.35,0.6,3.45,1226.6204798606013,201.3900248491024,1025.2269245251018,-24.579756793097044,3.995236356509965,3656.0,3664.0,2,200.0,13
-38.18515196756158,417.1,1.4684198619211202,417.4298023929882,418.89822225490934,-0.4048781600160325,37.41197977127996,417.7,-50.18731476749158,431.6,4.2,417.1,421.3,0.6,3.6,1240.7677772002698,205.26220380491858,1035.508836715032,-24.00431040976388,3.8637059543379237,4174.0,4182.0,3,200.0,13
-37.0342597793852,470.5,1.5685464878118183,470.8461364646065,472.4146829524183,-0.8857826308970544,35.274610869589985,471.1,-49.92425363693942,484.6,4.389999999999963,470.5,474.89,0.6,3.7899999999999636,1265.8889467316749,191.59545142258872,1074.2966757281815,-21.538115182372866,3.5348798919540947,4708.0,4716.0,4,200.0,13
-36.442372377341904,528.9,1.614704159412213,529.2875099520923,530.9022141115045,-1.0387107031446021,34.38678069471542,529.6,-49.463896661551956,542.8,4.55,528.9,533.45,0.7,3.85,1277.512668069169,221.68232617750385,1055.8285700233523,-21.455905419020837,3.354025652672302,5293.0,5301.0,5,200.0,13
-36.5410202772581,584.9,1.7132490921189856,585.2754948324794,586.9887439245983,-1.6774348732041275,33.203007113734586,585.6,-49.20083553451593,599.4,4.789999999999964,584.9,589.6899999999999,0.7,4.089999999999963,1328.422794452613,226.42689856615945,1101.9947055005464,-20.32145486496942,3.2060539631405263,5853.0,5861.0,6,200.0,13
-36.24507657801814,643.9,1.7365387690735588,644.2677021917438,646.0042409608174,-1.9065493145644652,32.44670731716624,644.6,-49.29948345700485,659.5,4.910000000000037,643.9,648.8100000000001,0.7,4.210000000000036,1331.1359320928236,228.06550524064335,1103.0690978306302,-19.581595810741618,3.0087583486227754,6443.0,6451.0,7,200.0,13
-35.390128122104706,707.2,1.7663314374328365,707.5942831496197,709.3606145870525,-2.110014241158307,31.19716850783576,707.9,-48.64183064379891,723.8,4.789999999999964,707.2,711.99,0.7,4.089999999999963,1293.4224417410112,204.84654803275012,1088.5721792279073,-19.006151251384402,3.107406154130558,7076.0,7084.0,8,200.0,13
-35.291480224162044,769.2,1.8256900627186041,769.5714303481341,771.3971204108527,-2.2052217152111453,30.901225102874676,769.9,-48.28012159992794,785.1,5.010000000000036,769.2,774.21,0.7,4.310000000000036,1344.848604867642,217.40034024364795,1127.446012481345,-18.480028568939797,2.860786733713418,7696.0,7705.0,9,200.0,13
-34.89688863407739,827.7,1.9300935090883287,828.098850115391,830.0289436244793,-2.4761049446849945,29.94762967968204,828.4,-48.18147367928937,845.2,5.179999999999927,827.7,832.8799999999999,0.7,4.479999999999928,1374.8373431341895,203.48444771301607,1171.3592887677573,-17.690846919008354,2.5648434005160317,8281.0,8292.0,10,200.0,13
-34.46941441452559,890.0,2.0109594646262847,890.4107367485519,892.4216962131783,-2.640791096692471,29.191329853431903,890.8,-48.67471328427008,907.8,5.320000000000073,890.0,895.32,0.8,4.520000000000072,1397.2220426512986,250.02580074802847,1147.1956890825786,-17.082518986273143,2.5155193992009472,8904.0,8914.0,11,200.0,13
-35.357245489438405,957.7,1.9311621238179213,958.1450264987765,960.0761886225944,-2.6903199285636568,29.98051228066539,958.5,-48.31300424018051,973.5,5.25,957.7,962.95,0.8,4.45,1382.0299492646682,233.62437415706188,1148.4061592967532,-16.96743125963604,2.6470496342788667,9581.0,9589.0,12,200.0,13
-39.63198789428874,328.1,0.9791191006950613,328.4172037406765,329.39632284137156,0.03860115876286585,39.71376160635744,328.7,-47.49093823981683,337.1,2.659999999999991,328.1,330.76,0.6,2.0599999999999907,841.8919306291502,227.11096203531253,614.7877906218623,-28.887377884943973,6.4614316702057035,3284.0,3290.0,1,225.0,14
-37.92209089393182,355.3,1.460287363061343,355.6197613029035,357.08004866596485,0.287860836966523,38.52998809876615,355.9,-49.82560571331241,367.9,3.969999999999982,355.3,359.27,0.6,3.369999999999982,1215.5451741009954,215.569936308573,999.9668995540746,-25.204524946585067,3.9787948992372257,3556.0,3563.0,2,225.0,14
-38.08650406480808,396.7,1.5017229631692772,397.1076000053666,398.6093229685358,-0.4347188212404163,37.24756678072746,397.4,-48.872009127514936,410.3,4.330000000000018,396.7,401.03000000000003,0.7,3.630000000000018,1258.2259884092784,222.15948520373544,1036.0711831597873,-24.366017685219155,3.6828514874266745,3971.0,3978.0,3,225.0,14
-37.39596875031267,439.5,1.6139986562346167,439.9247125829608,441.53871123919544,-0.9683657955373377,35.50478906156417,440.2,-49.102187612206436,454.5,4.639999999999963,439.5,444.14,0.7,3.9399999999999635,1316.977660068531,203.22619578854307,1113.7622763894215,-22.277972725796893,3.4855560031892026,4399.0,4407.0,4,225.0,14
-36.21219394486342,490.9,1.6088560132761813,491.2553872376087,492.8642432508849,-1.1960045014130145,33.82777650576576,491.6,-48.34588688045292,505.6,4.589999999999963,490.9,495.48999999999995,0.7,3.8899999999999637,1260.8392360612224,241.65725688837233,1019.1782454097677,-20.32145374787568,3.288260647748568,4913.0,4922.0,5,225.0,14
-36.24507657801814,537.3,1.751700436541978,537.6431781560542,539.3948785925961,-1.687768737468069,32.87418111606475,538.0,-48.247238959695224,551.2,4.860000000000037,537.3,542.1600000000001,0.7,4.160000000000037,1338.7968753505077,247.45308294754977,1091.3397277907297,-19.334979597170562,3.074523563667009,5376.0,5385.0,6,225.0,14
