D1_D2,Vm_B,Spike threshold (mV),Membrane resistance,Rheobase (pA),Cm,Rs_B,Rs_A
D1-SPN,-83.4,-32.787988607849,89.6264664701511,200.0,80.0,12.1,23.0
D2-SPN,-82.2,-32.9935330459493,128.821057395859,150.0,34.7,10.7,10.6
D2-SPN,-76.8,-31.990476214025,143.564629005778,125.0,41.1,9.7,17.1
D2-SPN,-79.2,-33.6266098898521,102.239490257619,150.0,69.3,11.6,22.3
D1-SPN,-81.7,-26.4489985895813,63.1057226893622,337.5,89.0,9.0,16.4
D2-SPN,-74.1,-35.48055537648615,110.1116882939432,187.5,52.3,9.3,10.4
D1-SPN,-73.7,-34.39542853004134,102.4152052388431,162.5,69.6,13.5,18.0
D1-SPN,-63.8,-34.06660217220794,150.0908921213019,150.0,37.4,9.9,9.8
D2-SPN,-70.4,-39.87038700513803,149.9724125151302,112.5,64.4,10.3,13.9
D1-SPN,-74.5,-39.8703870293982,92.4214880981036,187.5,59.5,12.4,19.0
D1-SPN,-78.8,-27.70693041809903,110.0683231329884,200.0,50.3,12.4,12.4
D2-SPN,-82.8,-34.6050014001013,176.7082597068939,112.5,57.7,10.4,8.8
D1-SPN,-80.1,-32.69754905535676,106.9042825774892,225.0,38.3,10.6,12.4
D2-SPN,-74.1,-32.46733929626051,133.3577994092906,150.0,33.9,14.1,18.1
D1-SPN,-86.1,-30.53522167653058,113.8276653633502,212.5,37.5,10.9,9.4
D1-SPN,-84.6,-30.44478213211103,93.74401717437594,237.5,76.1,12.3,15.0
D2-SPN,-75.8,-36.7344417812611,211.4154695052509,100.0,41.9,13.1,25.0
D1-SPN,,-24.31133668831506,83.06577659766803,400.0,71.6,11.4,20.3
D2-SPN,-75.9,-28.65243475313643,124.5182650578097,175.0,52.8,12.6,18.6
D1-SPN,-74.7,-39.20919688313883,173.8271908161562,100.0,55.9,10.6,18.6
D2-SPN,-75.8,-33.44573079624626,152.1431059886941,137.5,40.3,13.1,16.7
D1-SPN,-76.2,-26.08724041216067,102.7926075020568,212.5,60.8,14.5,15.9
D1-SPN,-81.4,-31.15185498654184,92.47733361532552,162.5,76.1,11.1,18.7
D1-SPN,-77.1,-25.26506275463935,88.7058228564673,300.0,52.0,15.0,19.2
D2-SPN,-83.3,-38.51034577818004,101.8811463438748,162.5,70.4,12.1,13.1
D1-SPN,-82.5,-33.27307346401187,88.11974376378514,200.0,63.4,10.1,21.0
D2-SPN,-75.6,-31.55472202505261,101.1281530498361,187.5,57.7,9.5,16.7
D1-SPN,-81.6,-34.07880764937996,119.7925481246597,150.0,27.4,15.7,14.2
D2-SPN,-80.3,-31.16829850180408,151.3814965467041,137.5,48.5,14.1,14.7
D1-SPN,-80.8,-37.22774843772353,134.5042432650603,137.5,53.6,11.1,16.9
D1-SPN,-82.7,-44.80000604807648,132.2083825284183,75.0,71.3,9.6,14.6
D1-SPN,-88.3,-36.82488132955715,99.36884436941529,175.0,34.9,14.5,18.0
D1-SPN,-76.1,-35.24630003904182,191.6597015418185,112.5,57.6,12.2,24.7
D2-SPN,-72.2,-32.31112553301172,114.9780859998142,137.5,33.5,11.1,12.1
D1-SPN,-78.4,-35.46006625277934,110.1618566965982,150.0,56.7,13.0,22.1
D1-SPN,-74.5,-28.42222501139164,64.87430866574941,275.0,66.7,13.7,16.1
D1-SPN,-76.8,-32.36045619374103,98.8201050668398,187.5,54.8,11.2,12.8
D2-SPN,-74.4,-31.49716958575446,126.9753102431671,175.0,60.9,15.8,17.0
D1-SPN,-82.9,-35.18052581680443,84.05978610870629,262.5,28.4,14.2,16.3
D2-SPN,-80.0,-33.32240412777455,184.8763920737524,100.0,20.8,14.8,17.5
D2-SPN,-78.7,-37.44973643392802,170.9574072480939,100.0,39.0,14.7,25.0
D1-SPN,-82.9,-36.95642977135405,101.4507232679077,175.0,69.2,8.1,12.7
D1-SPN,-83.4,-31.46428248303215,105.2218280167905,200.0,65.1,8.9,11.1
D1-SPN,-79.8,-40.2040320148734,169.3619940706638,100.0,21.3,12.6,14.2
D2-SPN,-70.3,-32.5331135104263,120.1075893071206,175.0,41.4,9.0,19.0
D1-SPN,-74.8,-33.09219440482931,92.35032226645905,162.5,64.9,7.7,10.8
D2-SPN,-83.5,-38.59256354718274,89.54120237074336,175.0,67.5,8.2,10.9
D1-SPN,-83.7,-31.3738429312475,85.32207390467812,250.0,49.2,7.9,8.7
D2-SPN,-80.3,-34.47345295694046,155.9617871969976,125.0,29.5,10.0,9.4
D1-SPN,-80.4,-35.08186448885944,137.95278425224,175.0,49.9,9.5,10.6
D2-SPN,-78.6,-36.35624000728008,136.7417900844157,150.0,41.1,12.7,15.2
D1-SPN,-71.4,-15.4153751799647,99.8241045683995,287.5,52.4,9.3,13.5
D1-SPN,-83.4,-32.039806881835,126.344227610179,150.0,28.0,8.5,8.4
D2-SPN,-77.0,-36.0684777914631,167.034501653371,125.0,37.2,12.5,12.5
D1-SPN,-86.0,-32.23339547526414,119.6197307544162,150.0,55.6,20.0,22.0
D1-SPN,-75.0,-17.52828475681329,74.09272490193328,310.0,33.3,13.9,14.8
D1-SPN,-81.0,-31.60862549305058,75.999791675111,200.0,57.7,17.6,20.0
D1-SPN,-76.0,-25.22939551168858,80.26375601280222,387.5,42.5,17.0,18.2
D2-SPN,-69.0,-37.47817534975373,168.7620075969124,112.5,39.3,18.0,20.0
D1-SPN,-70.2,-22.19597326143634,101.3572186215582,312.5,44.3,12.0,12.5
D2-SPN,-52.9,-25.26227816441482,143.5818969179128,187.5,63.8,12.8,11.3
D2-SPN,-67.7,-25.13896829405637,97.4886695158142,225.0,48.7,20.0,17.5
D2-SPN,-70.0,-39.94437295217017,109.3819031816195,150.0,29.2,14.0,21.6
D2-SPN,-60.7,-24.69505282601715,119.0595066778142,175.0,33.7,13.4,12.0
D1-SPN,-77.0,-26.84064425192334,108.922645877223,300.0,33.6,20.0,16.0
D1-SPN,-73.5,-44.61370736145929,129.7296015040323,112.5,38.6,16.5,22.1
D1-SPN,-69.3,-33.40894954982689,235.7011807226945,137.5,37.9,16.0,25.0
D1-SPN,-76.5,-33.89396835858381,132.2531609494274,125.0,33.2,12.3,13.6
D2-SPN,-66.0,-23.79900125121103,84.21344458172067,212.5,41.1,19.0,21.7
D1-SPN,-75.4,-40.49515713319023,184.891510084176,100.0,33.8,16.6,19.4
D1-SPN,-67.2,-30.69887291680814,76.95835024323311,250.0,33.3,14.0,16.6
D1-SPN,-71.9,-30.61392616849118,179.0920895350728,125.0,20.9,15.0,13.3
D1-SPN,-66.7,-37.49461665781462,110.2819102385178,125.0,72.7,11.0,13.1
D1-SPN,-70.0,-39.10586574294349,141.5306728883101,112.5,38.4,16.0,23.0
D1-SPN,-72.0,-41.65427001110888,122.2639049036704,137.5,32.8,13.2,19.8
D2-SPN,-75.0,-44.59726607333271,114.2108409550111,130.0,69.9,13.3,20.8
D1-SPN,-77.8,-42.68067801347336,78.05310722193998,235.7142857142857,25.1,13.9,17.0
D1-SPN,-69.4,-31.09894472453876,57.48139763958952,325.0,47.7,11.3,13.7
