consumption,Cohort,Sex,Tx
5.792019595816761,2,F,W/F
8.204266973260575,2,F,W/F
3.5292042949321476,2,F,W/F
2.155854527367911,2,F,W/F
1.1976209227673555,2,M,W/F
3.2592084667771637,2,M,W/F
3.470763377192158,2,M,W/F
3.030006536271174,2,M,W/F
1.3340675217737796,2,M,W/F
2.4534391716583475,2,M,W/F
9.959978174614836,3,F,W/F
10.673939210210186,3,F,W/F
16.623650502386507,3,F,W/F
10.709546925979458,3,F,W/F
14.58749167434771,3,F,W/F
9.63349077351531,3,F,W/F
6.154097732265384,3,M,W/F
7.762865493981779,3,M,W/F
1.8811887045677254,3,M,W/F
4.071151715269131,3,M,W/F
3.675331663715874,3,M,W/F
3.278143423458874,3,M,W/F
13.957840999371369,4,F,W/F
46.40534651581544,4,F,W/F
9.347744132136938,4,F,W/F
32.458531244791644,4,F,W/F
5.368791382341847,4,F,W/F
13.403199047506076,4,F,W/F
10.326942023919509,4,M,W/F
13.76554866134726,4,M,W/F
14.984414367992175,4,M,W/F
15.843300366973992,4,M,W/F
7.298077312461219,4,M,W/F
6.756407749178024,4,M,W/F
